id,name,signature
Q148109,Subrahmanyan Chandrasekhar,Subrahmanyan Chandrasekhar signature.png
Q150665,"Charles VI, Holy Roman Emperor",Signatur Karl VI.jpg
Q151321,"Leopold II, Holy Roman Emperor",Leopold II signature.jpg
Q151414,George Marshall,George C Marshall Signature.svg
Q151891,Rod Blagojevich,Rod Blagojevich Signature.svg
Q151944,Leonel Fernández el ladron,FirmaLF.jpg
Q152176,Paul Éluard,Signature Paul Eluard.svg
Q152451,Jerry Brown,Signature of California Edmund G. (Jerry) Brown.png
Q152505,Leonard Bernstein,BernsteinLeonardSignature01 mono 25p transp.png
Q152511,Eddie Fenech Adami,Signature of Edward Fenech Adami.png
Q152513,Henry Wadsworth Longfellow,Henry Wadsworth Longfellow Signature.svg
Q153185,Joseph Louis Gay-Lussac,Gay-Lussac Signature.svg
Q153408,Joseph Banks,Joseph Banks Sig.JPG
Q153421,Konstantin von Neurath,Konstantin von Neurath signature.svg
Q153688,Umberto I of Italy,UmbertoI.signature.jpg
Q153911,Louis-Antoine de Bougainville,Signature Louis Antoine de Bougainville.jpg
Q154145,Gabriel Marcel,Gabriel Marcel signature.jpg
Q154269,Alexey Leonov,Alexey Leonov signature.svg
Q154308,Manuel II of Portugal,Assinatura D. Manuel II.svg
Q154367,Friedrich Gottlieb Klopstock,Klopstock Signature.gif
Q154842,Max Ernst,Max Ernst Signature.svg
Q155463,"Ángel de Saavedra, 3rd Duke of Rivas",Firma del duque de Rivas.JPG
Q156379,Yury Luzhkov,Signature of Yury Luzhkov.png
Q156390,Princess Victoria of Sweden,"Signature of Victoria, Crown Princess of Sweden.png"
Q156622,Giorgio de Chirico,Chirico autograph.png
Q156814,Yehudi Menuhin,MenuhinYehudiSignature04 mono 25p transp.png
Q157208,"William Cavendish-Bentinck, 3rd Duke of Portland","William Cavendish-Bentinck, 3rd Duke of Portland Signature.svg"
Q157250,Harry Kroto,Sir Harold Walter Kroto.png
Q157280,Stepan Bandera,Stepan Bandera signature.png
Q157501,Joseph Dalton Hooker,Joseph Dalton Hooker Signature.svg
Q157847,Harald Schumacher,Toni Schumacher - Signatur.jpg
Q158229,Maria Carolina of Austria,Signature of Maria Carolina of Austria signing as Charlotte in 1790.jpg
